"Time","Disk Reads (Page In)","Disk Writes (Page Out)","Total","Swap In (Reads)","Swap Out (Writes)"
2023-04-27 17:49:03,3277,54886,58163,0,0
2023-04-27 17:49:04,0,1638,1638,0,0
2023-04-27 17:49:05,1179648,2163507,3343155,0,0
2023-04-27 17:49:06,2363392,7510426,9873818,0,0
2023-04-27 17:49:07,3421798,16739533,20161331,0,0
2023-04-27 17:49:08,4350771,21988147,26338918,0,0
2023-04-27 17:49:09,5487821,27509555,32997376,0,0
2023-04-27 17:49:10,5262541,29215949,34478490,0,0
2023-04-27 17:49:11,4695654,29921280,34616934,0,0
2023-04-27 17:49:12,4434330,26336461,30770790,0,0
2023-04-27 17:49:13,4203315,26084966,30288282,0,0
2023-04-27 17:49:14,3973939,26327450,30301389,0,0
2023-04-27 17:49:15,3729818,29276570,33006387,0,0
2023-04-27 17:49:16,3615130,27875738,31490867,0,0
2023-04-27 17:49:17,3194061,28416410,31610470,0,0
2023-04-27 17:49:18,3193242,27453030,30646272,0,0
2023-04-27 17:49:19,2612429,26888602,29501030,0,0
2023-04-27 17:49:20,2279014,25368166,27647181,0,0
2023-04-27 17:49:21,2147123,26034176,28181299,0,0
2023-04-27 17:49:22,2080768,25093734,27174502,0,0
2023-04-27 17:49:23,1922662,25764659,27687322,0,0
2023-04-27 17:49:24,2001306,25370624,27371930,0,0
2023-04-27 17:49:25,2127462,25686835,27814298,0,0
2023-04-27 17:49:26,1964442,26105446,28069888,0,0
2023-04-27 17:49:27,1746534,27148288,28894822,0,0
2023-04-27 17:49:28,1381990,27856077,29238067,0,0
2023-04-27 17:49:29,1114112,27865907,28980019,0,0
2023-04-27 17:49:30,755302,28078080,28833382,0,0
2023-04-27 17:49:31,752026,26338099,27090125,0,0
2023-04-27 17:49:32,927334,25840845,26768179,0,0
2023-04-27 17:49:33,1050214,25228902,26279117,0,0
2023-04-27 17:49:34,1107558,26649395,27756954,0,0
2023-04-27 17:49:35,1079706,25890816,26970522,0,0
2023-04-27 17:49:36,911770,28064154,28975923,0,0
2023-04-27 17:49:37,700416,27720909,28421325,0,0
2023-04-27 17:49:38,595558,27822490,28418048,0,0
2023-04-27 17:49:39,465306,27767603,28232909,0,0
2023-04-27 17:49:40,378470,28383642,28762112,0,0
2023-04-27 17:49:41,411238,25998131,26409370,0,0
2023-04-27 17:49:42,519373,25697485,26216858,0,0
2023-04-27 17:49:43,440730,26038272,26479002,0,0
2023-04-27 17:49:44,490701,25610650,26101350,0,0
2023-04-27 17:49:45,699597,26037453,26737050,0,0
2023-04-27 17:49:46,892928,27720909,28613837,0,0
2023-04-27 17:49:47,827392,27157299,27984691,0,0
2023-04-27 17:49:48,944538,26503578,27448115,0,0
2023-04-27 17:49:49,901939,24687411,25589350,0,0
2023-04-27 17:49:50,909312,24262246,25171558,0,0
2023-04-27 17:49:51,768410,23654400,24422810,0,0
2023-04-27 17:49:52,829850,22988390,23818240,0,0
2023-04-27 17:49:53,641434,22839296,23480730,0,0
2023-04-27 17:49:54,767590,25468928,26236518,0,0
2023-04-27 17:49:55,724173,25244467,25968640,0,0
2023-04-27 17:49:56,826573,25129779,25956352,0,0
2023-04-27 17:49:57,882278,26475725,27358003,0,0
2023-04-27 17:49:58,1033830,25998950,27032781,0,0
2023-04-27 17:49:59,945357,36444570,37389926,0,0
2023-04-27 17:50:00,804454,37711872,38516326,0,0
2023-04-27 17:50:01,760218,38240256,39000474,0,0
2023-04-27 17:50:02,741376,38705562,39446938,0,0
2023-04-27 17:50:03,862618,39559168,40421786,0,0
2023-04-27 17:50:04,850330,28135424,28985754,0,0
2023-04-27 17:50:05,972390,26361856,27334246,0,0
2023-04-27 17:50:06,987955,27060634,28048589,0,0
2023-04-27 17:50:07,925696,26374963,27300659,0,0
2023-04-27 17:50:08,727450,26153779,26881229,0,0
2023-04-27 17:50:09,820019,25733530,26553549,0,0
2023-04-27 17:50:10,734822,26694451,27429274,0,0
2023-04-27 17:50:11,566067,25792512,26358579,0,0
2023-04-27 17:50:12,901120,26265190,27166310,0,0
2023-04-27 17:50:13,1300070,26297139,27597210,0,0
2023-04-27 17:50:14,1653965,25831834,27485798,0,0
2023-04-27 17:50:15,1772749,25464832,27237581,0,0
2023-04-27 17:50:16,1861222,26291405,28152627,0,0
2023-04-27 17:50:17,1575322,25242010,26817331,0,0
2023-04-27 17:50:18,1560576,24716083,26276659,0,0
2023-04-27 17:50:19,1114112,25228083,26342195,0,0
2023-04-27 17:50:20,970752,23564288,24535040,0,0
2023-04-27 17:50:21,1301709,22600909,23902618,0,0
2023-04-27 17:50:22,1266483,24188518,25455002,0,0
2023-04-27 17:50:23,804454,26079232,26883686,0,0
2023-04-27 17:50:24,1113293,27058995,28172288,0,0
2023-04-27 17:50:25,1102643,26752614,27855258,0,0
2023-04-27 17:50:26,1175552,25584435,26759987,0,0
2023-04-27 17:50:27,1116570,26198016,27314586,0,0
2023-04-27 17:50:28,1170637,24421990,25592627,0,0
2023-04-27 17:50:29,1040384,23223501,24263885,0,0
2023-04-27 17:50:30,1158349,26070221,27228570,0,0
2023-04-27 17:50:31,965837,26701824,27667661,0,0
2023-04-27 17:50:32,979763,25964544,26944307,0,0
2023-04-27 17:50:33,1073971,26256179,27330150,0,0
2023-04-27 17:50:34,924058,25420595,26344653,0,0
2023-04-27 17:50:35,924877,25383731,26308608,0,0
2023-04-27 17:50:36,737280,26897613,27634893,0,0
2023-04-27 17:50:37,756941,26643661,27400602,0,0
2023-04-27 17:50:38,670925,26202931,26873856,0,0
2023-04-27 17:50:39,730726,26211942,26942669,0,0
