"Time","Read","Write"
2023-04-27 17:35:52,1.20,16.4
2023-04-27 17:35:53,1.20,17
2023-04-27 17:35:54,54.2,95
2023-04-27 17:35:55,202,295
2023-04-27 17:35:56,389,531
2023-04-27 17:35:57,556,882
2023-04-27 17:35:58,726,1127
2023-04-27 17:35:59,850,1251
2023-04-27 17:36:00,879,1266
2023-04-27 17:36:01,819,1378
2023-04-27 17:36:02,807,1286
2023-04-27 17:36:03,812,1231
2023-04-27 17:36:04,784,1374
2023-04-27 17:36:05,764,1447
2023-04-27 17:36:06,812,1306
2023-04-27 17:36:07,820,1238
2023-04-27 17:36:08,774,1396
2023-04-27 17:36:09,796,1317
2023-04-27 17:36:10,818,1241
2023-04-27 17:36:11,792,1433
2023-04-27 17:36:12,788,1491
2023-04-27 17:36:13,840,1358
2023-04-27 17:36:14,801,1484
2023-04-27 17:36:15,806,1518
2023-04-27 17:36:16,834,1345
2023-04-27 17:36:17,811,1518
2023-04-27 17:36:18,807,1494
2023-04-27 17:36:19,849,1314
2023-04-27 17:36:20,810,1403
2023-04-27 17:36:21,797,1496
2023-04-27 17:36:22,843,1287
2023-04-27 17:36:23,840,1397
2023-04-27 17:36:24,797,1509
2023-04-27 17:36:25,834,1384
2023-04-27 17:36:26,851,1376
2023-04-27 17:36:27,824,1526
2023-04-27 17:36:28,849,1445
2023-04-27 17:36:29,890,1444
2023-04-27 17:36:30,843,1562
2023-04-27 17:36:31,848,1465
2023-04-27 17:36:32,875,1340
2023-04-27 17:36:33,800,1494
2023-04-27 17:36:34,814,1403
2023-04-27 17:36:35,882,1309
2023-04-27 17:36:36,852,1461
2023-04-27 17:36:37,835,1530
2023-04-27 17:36:38,882,1451
2023-04-27 17:36:39,857,1585
2023-04-27 17:36:40,842,1571
2023-04-27 17:36:41,869,1502
2023-04-27 17:36:42,839,1566
2023-04-27 17:36:43,842,1456
2023-04-27 17:36:44,858,1314
2023-04-27 17:36:45,801,1501
2023-04-27 17:36:46,807,1428
2023-04-27 17:36:47,867,1288
2023-04-27 17:36:48,859,1425
2023-04-27 17:36:49,820,1519
2023-04-27 17:36:50,877,1328
2023-04-27 17:36:51,861,1475
2023-04-27 17:36:52,828,1559
2023-04-27 17:36:53,846,1432
2023-04-27 17:36:54,844,1474
2023-04-27 17:36:55,847,1562
2023-04-27 17:36:56,870,1424
2023-04-27 17:36:57,859,1472
2023-04-27 17:36:58,858,1577
2023-04-27 17:36:59,892,1462
2023-04-27 17:37:00,775,1464
2023-04-27 17:37:01,717,1508
2023-04-27 17:37:02,746,1352
2023-04-27 17:37:03,711,1388
2023-04-27 17:37:04,726,1438
2023-04-27 17:37:05,847,1356
2023-04-27 17:37:06,846,1462
2023-04-27 17:37:07,838,1526
2023-04-27 17:37:08,871,1383
2023-04-27 17:37:09,846,1428
2023-04-27 17:37:10,794,1503
2023-04-27 17:37:11,852,1345
