"Disk Reads","Disk Reads"
2023-04-27 17:35:52,0.0 B/s
2023-04-27 17:35:54,59.8 kB/s
2023-04-27 17:35:56,59.8 kB/s
2023-04-27 17:35:58,86.0 kB/s
2023-04-27 17:36:00,78.6 kB/s
2023-04-27 17:36:02,104.9 kB/s
2023-04-27 17:36:04,131.1 kB/s
2023-04-27 17:36:06,131.1 kB/s
2023-04-27 17:36:08,78.6 kB/s
2023-04-27 17:36:10,52.4 kB/s
2023-04-27 17:36:12,52.4 kB/s
2023-04-27 17:36:14,26.2 kB/s
2023-04-27 17:36:16,52.4 kB/s
2023-04-27 17:36:18,104.9 kB/s
2023-04-27 17:36:20,52.4 kB/s
2023-04-27 17:36:22,26.2 kB/s
2023-04-27 17:36:24,0.0 B/s
2023-04-27 17:36:26,26.2 kB/s
2023-04-27 17:36:28,52.4 kB/s
2023-04-27 17:36:30,52.4 kB/s
2023-04-27 17:36:32,78.6 kB/s
2023-04-27 17:36:34,26.2 kB/s
2023-04-27 17:36:36,52.4 kB/s
2023-04-27 17:36:38,52.4 kB/s
2023-04-27 17:36:40,78.6 kB/s
2023-04-27 17:36:42,52.4 kB/s
2023-04-27 17:36:44,52.4 kB/s
2023-04-27 17:36:46,26.2 kB/s
2023-04-27 17:36:48,26.2 kB/s
2023-04-27 17:36:50,26.2 kB/s
2023-04-27 17:36:52,52.4 kB/s
2023-04-27 17:36:54,26.2 kB/s
2023-04-27 17:36:56,26.2 kB/s
2023-04-27 17:36:58,78.6 kB/s
2023-04-27 17:37:00,78.6 kB/s
2023-04-27 17:37:02,52.4 kB/s
2023-04-27 17:37:04,52.4 kB/s
2023-04-27 17:37:06,78.6 kB/s
2023-04-27 17:37:08,52.4 kB/s
2023-04-27 17:37:10,52.4 kB/s
2023-04-27 17:37:12,26.2 kB/s
2023-04-27 17:37:14,26.2 kB/s
2023-04-27 17:37:16,26.2 kB/s
2023-04-27 17:37:18,26.2 kB/s
2023-04-27 17:37:20,52.4 kB/s
2023-04-27 17:37:22,26.2 kB/s
2023-04-27 17:37:24,0.0 B/s
2023-04-27 17:37:26,0.0 B/s
2023-04-27 17:37:28,63.9 kB/s
2023-04-27 17:37:30,63.9 kB/s
2023-04-27 17:37:32,63.9 kB/s
2023-04-27 17:37:34,26.2 kB/s
2023-04-27 17:37:36,26.2 kB/s
2023-04-27 17:37:38,26.2 kB/s
2023-04-27 17:37:40,26.2 kB/s
2023-04-27 17:37:42,52.4 kB/s
2023-04-27 17:37:44,52.4 kB/s
2023-04-27 17:37:46,26.2 kB/s
2023-04-27 17:37:48,0.0 B/s
2023-04-27 17:37:50,26.2 kB/s
2023-04-27 17:37:52,26.2 kB/s
2023-04-27 17:37:54,52.4 kB/s
2023-04-27 17:37:56,52.4 kB/s
2023-04-27 17:37:58,52.4 kB/s
2023-04-27 17:38:00,0.0 B/s
2023-04-27 17:38:02,0.0 B/s
2023-04-27 17:38:04,26.2 kB/s
2023-04-27 17:38:06,78.6 kB/s
2023-04-27 17:38:08,78.6 kB/s
2023-04-27 17:38:10,26.2 kB/s
2023-04-27 17:38:12,26.2 kB/s
2023-04-27 17:38:14,52.4 kB/s
2023-04-27 17:38:16,26.2 kB/s
2023-04-27 17:38:18,26.2 kB/s
2023-04-27 17:38:20,26.2 kB/s
2023-04-27 17:38:22,0.0 B/s
2023-04-27 17:38:24,0.0 B/s
2023-04-27 17:38:26,0.0 B/s
2023-04-27 17:38:28,26.2 kB/s
2023-04-27 17:38:30,52.4 kB/s
2023-04-27 17:38:32,104.9 kB/s
2023-04-27 17:38:34,78.6 kB/s
2023-04-27 17:38:36,26.2 kB/s
2023-04-27 17:38:38,26.2 kB/s
2023-04-27 17:38:40,0.0 B/s
2023-04-27 17:38:42,0.0 B/s
2023-04-27 17:38:44,0.0 B/s
2023-04-27 17:38:46,26.2 kB/s
2023-04-27 17:38:48,26.2 kB/s
2023-04-27 17:38:50,52.4 kB/s
2023-04-27 17:38:52,26.2 kB/s
2023-04-27 17:38:54,35.2 kB/s
2023-04-27 17:38:56,46.7 kB/s
2023-04-27 17:38:58,37.7 kB/s
2023-04-27 17:39:00,0.0 B/s
2023-04-27 17:39:02,26.2 kB/s
2023-04-27 17:39:04,26.2 kB/s
2023-04-27 17:39:06,0.0 B/s
2023-04-27 17:39:08,78.6 kB/s
2023-04-27 17:39:10,78.6 kB/s
2023-04-27 17:39:12,78.6 kB/s
2023-04-27 17:39:14,26.2 kB/s
2023-04-27 17:39:16,26.2 kB/s
2023-04-27 17:39:18,26.2 kB/s
2023-04-27 17:39:20,26.2 kB/s
2023-04-27 17:39:22,0.0 B/s
2023-04-27 17:39:24,0.0 B/s
2023-04-27 17:39:26,26.2 kB/s
2023-04-27 17:39:28,52.4 kB/s
2023-04-27 17:39:30,52.4 kB/s
2023-04-27 17:39:32,0.0 B/s
2023-04-27 17:39:34,26.2 kB/s
2023-04-27 17:39:36,26.2 kB/s
2023-04-27 17:39:38,0.0 B/s
2023-04-27 17:39:40,26.2 kB/s
2023-04-27 17:39:42,52.4 kB/s
2023-04-27 17:39:44,52.4 kB/s
2023-04-27 17:39:46,52.4 kB/s
2023-04-27 17:39:48,78.6 kB/s
2023-04-27 17:39:50,52.4 kB/s
2023-04-27 17:39:52,52.4 kB/s
2023-04-27 17:39:54,52.4 kB/s
2023-04-27 17:39:56,52.4 kB/s
2023-04-27 17:39:58,0.0 B/s
2023-04-27 17:40:00,0.0 B/s
2023-04-27 17:40:02,0.0 B/s
2023-04-27 17:40:04,0.0 B/s
2023-04-27 17:40:06,0.0 B/s
2023-04-27 17:40:08,0.0 B/s
2023-04-27 17:40:10,0.0 B/s
2023-04-27 17:40:12,26.2 kB/s
2023-04-27 17:40:14,26.2 kB/s
2023-04-27 17:40:16,52.4 kB/s
2023-04-27 17:40:18,26.2 kB/s
2023-04-27 17:40:20,0.0 B/s
2023-04-27 17:40:22,0.0 B/s
2023-04-27 17:40:24,26.2 kB/s
2023-04-27 17:40:26,26.2 kB/s
2023-04-27 17:40:28,26.2 kB/s
2023-04-27 17:40:30,0.0 B/s
2023-04-27 17:40:32,26.2 kB/s
2023-04-27 17:40:34,52.4 kB/s
2023-04-27 17:40:36,78.6 kB/s
2023-04-27 17:40:38,52.4 kB/s
2023-04-27 17:40:40,0.0 B/s
2023-04-27 17:40:42,8.2 kB/s
2023-04-27 17:40:44,8.2 kB/s
2023-04-27 17:40:46,8.2 kB/s
2023-04-27 17:40:48,26.2 kB/s
2023-04-27 17:40:50,26.2 kB/s
2023-04-27 17:40:52,26.2 kB/s

