"Disk Writes","Disk Writes"
2023-04-27 17:35:52,212.2 kB/s
2023-04-27 17:35:54,4.1 MB/s
2023-04-27 17:35:56,21.3 MB/s
2023-04-27 17:35:58,57.3 MB/s
2023-04-27 17:36:00,57.8 MB/s
2023-04-27 17:36:02,67.2 MB/s
2023-04-27 17:36:04,84.9 MB/s
2023-04-27 17:36:06,70.3 MB/s
2023-04-27 17:36:08,88.4 MB/s
2023-04-27 17:36:10,63.5 MB/s
2023-04-27 17:36:12,97.6 MB/s
2023-04-27 17:36:14,97.6 MB/s
2023-04-27 17:36:16,74.3 MB/s
2023-04-27 17:36:18,93.9 MB/s
2023-04-27 17:36:20,84.0 MB/s
2023-04-27 17:36:22,64.6 MB/s
2023-04-27 17:36:24,96.2 MB/s
2023-04-27 17:36:26,75.1 MB/s
2023-04-27 17:36:28,82.0 MB/s
2023-04-27 17:36:30,98.5 MB/s
2023-04-27 17:36:32,67.8 MB/s
2023-04-27 17:36:34,79.2 MB/s
2023-04-27 17:36:36,86.3 MB/s
2023-04-27 17:36:38,80.9 MB/s
2023-04-27 17:36:40,101.4 MB/s
2023-04-27 17:36:42,99.0 MB/s
2023-04-27 17:36:44,66.1 MB/s
2023-04-27 17:36:46,83.0 MB/s
2023-04-27 17:36:48,81.1 MB/s
2023-04-27 17:36:50,65.5 MB/s
2023-04-27 17:36:52,100.0 MB/s
2023-04-27 17:36:54,89.6 MB/s
2023-04-27 17:36:56,77.9 MB/s
2023-04-27 17:36:58,98.3 MB/s
2023-04-27 17:37:00,95.6 MB/s
2023-04-27 17:37:02,82.5 MB/s
2023-04-27 17:37:04,96.1 MB/s
2023-04-27 17:37:06,87.4 MB/s
2023-04-27 17:37:08,72.2 MB/s
2023-04-27 17:37:10,96.3 MB/s
2023-04-27 17:37:12,67.1 MB/s
2023-04-27 17:37:14,79.7 MB/s
2023-04-27 17:37:16,88.6 MB/s
2023-04-27 17:37:18,63.1 MB/s
2023-04-27 17:37:20,94.3 MB/s
2023-04-27 17:37:22,62.9 MB/s
2023-04-27 17:37:24,84.7 MB/s
2023-04-27 17:37:26,59.2 MB/s
2023-04-27 17:37:28,89.8 MB/s
2023-04-27 17:37:30,62.4 MB/s
2023-04-27 17:37:32,73.1 MB/s
2023-04-27 17:37:34,70.8 MB/s
2023-04-27 17:37:36,76.6 MB/s
2023-04-27 17:37:38,83.3 MB/s
2023-04-27 17:37:40,62.4 MB/s
2023-04-27 17:37:42,95.9 MB/s
2023-04-27 17:37:44,65.4 MB/s
2023-04-27 17:37:46,94.3 MB/s
2023-04-27 17:37:48,83.4 MB/s
2023-04-27 17:37:50,69.3 MB/s
2023-04-27 17:37:52,89.6 MB/s
2023-04-27 17:37:54,62.7 MB/s
2023-04-27 17:37:56,96.9 MB/s
2023-04-27 17:37:58,89.0 MB/s
2023-04-27 17:38:00,73.1 MB/s
2023-04-27 17:38:02,97.5 MB/s
2023-04-27 17:38:04,63.1 MB/s
2023-04-27 17:38:06,88.4 MB/s
2023-04-27 17:38:08,94.9 MB/s
2023-04-27 17:38:10,66.6 MB/s
2023-04-27 17:38:12,94.5 MB/s
2023-04-27 17:38:14,63.0 MB/s
2023-04-27 17:38:16,77.4 MB/s
2023-04-27 17:38:18,67.9 MB/s
2023-04-27 17:38:20,73.6 MB/s
2023-04-27 17:38:22,82.7 MB/s
2023-04-27 17:38:24,61.6 MB/s
2023-04-27 17:38:26,90.9 MB/s
2023-04-27 17:38:28,61.0 MB/s
2023-04-27 17:38:30,80.5 MB/s
2023-04-27 17:38:32,75.8 MB/s
2023-04-27 17:38:34,61.9 MB/s
2023-04-27 17:38:36,85.6 MB/s
2023-04-27 17:38:38,60.3 MB/s
2023-04-27 17:38:40,92.8 MB/s
2023-04-27 17:38:42,71.4 MB/s
2023-04-27 17:38:44,79.3 MB/s
2023-04-27 17:38:46,73.4 MB/s
2023-04-27 17:38:48,59.0 MB/s
2023-04-27 17:38:50,93.6 MB/s
2023-04-27 17:38:52,64.8 MB/s
2023-04-27 17:38:54,79.6 MB/s
2023-04-27 17:38:56,86.9 MB/s
2023-04-27 17:38:58,60.8 MB/s
2023-04-27 17:39:00,92.3 MB/s
2023-04-27 17:39:02,62.6 MB/s
2023-04-27 17:39:04,81.5 MB/s
2023-04-27 17:39:06,70.4 MB/s
2023-04-27 17:39:08,68.9 MB/s
2023-04-27 17:39:10,70.3 MB/s
2023-04-27 17:39:12,59.8 MB/s
2023-04-27 17:39:14,93.3 MB/s
2023-04-27 17:39:16,61.1 MB/s
2023-04-27 17:39:18,84.6 MB/s
2023-04-27 17:39:20,59.8 MB/s
2023-04-27 17:39:22,67.7 MB/s
2023-04-27 17:39:24,57.1 MB/s
2023-04-27 17:39:26,56.8 MB/s
2023-04-27 17:39:28,59.7 MB/s
2023-04-27 17:39:30,63.2 MB/s
2023-04-27 17:39:32,90.5 MB/s
2023-04-27 17:39:34,62.4 MB/s
2023-04-27 17:39:36,83.3 MB/s
2023-04-27 17:39:38,58.7 MB/s
2023-04-27 17:39:40,69.9 MB/s
2023-04-27 17:39:42,88.6 MB/s
2023-04-27 17:39:44,61.6 MB/s
2023-04-27 17:39:46,86.3 MB/s
2023-04-27 17:39:48,60.6 MB/s
2023-04-27 17:39:50,91.9 MB/s
2023-04-27 17:39:52,75.0 MB/s
2023-04-27 17:39:54,61.5 MB/s
2023-04-27 17:39:56,84.4 MB/s
2023-04-27 17:39:58,59.8 MB/s
2023-04-27 17:40:00,93.2 MB/s
2023-04-27 17:40:02,55.7 MB/s
2023-04-27 17:40:04,69.0 MB/s
2023-04-27 17:40:06,67.6 MB/s
2023-04-27 17:40:08,68.6 MB/s
2023-04-27 17:40:10,91.3 MB/s
2023-04-27 17:40:12,59.4 MB/s
2023-04-27 17:40:14,79.8 MB/s
2023-04-27 17:40:16,58.1 MB/s
2023-04-27 17:40:18,76.5 MB/s
2023-04-27 17:40:20,86.3 MB/s
2023-04-27 17:40:22,67.1 MB/s
2023-04-27 17:40:24,88.5 MB/s
2023-04-27 17:40:26,59.8 MB/s
2023-04-27 17:40:28,87.5 MB/s
2023-04-27 17:40:30,60.2 MB/s
2023-04-27 17:40:32,69.7 MB/s
2023-04-27 17:40:34,73.7 MB/s
2023-04-27 17:40:36,60.3 MB/s
2023-04-27 17:40:38,79.6 MB/s
2023-04-27 17:40:40,57.7 MB/s
2023-04-27 17:40:42,88.8 MB/s
2023-04-27 17:40:44,58.9 MB/s
2023-04-27 17:40:46,65.6 MB/s
2023-04-27 17:40:48,57.7 MB/s
2023-04-27 17:40:50,71.1 MB/s
2023-04-27 17:40:52,70.0 MB/s

