"Time","Data Fsyncs","Log Fsyncs"
2023-04-27 17:35:52,1,0.600
2023-04-27 17:35:53,1,0.600
2023-04-27 17:35:54,67.2,65.4
2023-04-27 17:35:55,221,171
2023-04-27 17:35:56,427,246
2023-04-27 17:35:57,598,324
2023-04-27 17:35:58,794,412
2023-04-27 17:35:59,911,453
2023-04-27 17:36:00,955,452
2023-04-27 17:36:01,875,418
2023-04-27 17:36:02,884,409
2023-04-27 17:36:03,880,427
2023-04-27 17:36:04,857,402
2023-04-27 17:36:05,850,364
2023-04-27 17:36:06,908,419
2023-04-27 17:36:07,905,458
2023-04-27 17:36:08,861,399
2023-04-27 17:36:09,898,403
2023-04-27 17:36:10,909,451
2023-04-27 17:36:11,886,420
2023-04-27 17:36:12,913,386
2023-04-27 17:36:13,958,427
2023-04-27 17:36:14,929,393
2023-04-27 17:36:15,948,390
2023-04-27 17:36:16,974,400
2023-04-27 17:36:17,918,405
2023-04-27 17:36:18,915,442
2023-04-27 17:36:19,947,480
2023-04-27 17:36:20,885,418
2023-04-27 17:36:21,905,438
2023-04-27 17:36:22,955,473
2023-04-27 17:36:23,945,432
2023-04-27 17:36:24,894,416
2023-04-27 17:36:25,933,488
2023-04-27 17:36:26,916,489
2023-04-27 17:36:27,909,464
2023-04-27 17:36:28,948,503
2023-04-27 17:36:29,979,510
2023-04-27 17:36:30,950,445
2023-04-27 17:36:31,969,473
2023-04-27 17:36:32,948,487
2023-04-27 17:36:33,890,418
2023-04-27 17:36:34,916,472
2023-04-27 17:36:35,975,550
2023-04-27 17:36:36,944,491
2023-04-27 17:36:37,976,461
2023-04-27 17:36:38,1016,494
2023-04-27 17:36:39,991,446
2023-04-27 17:36:40,984,434
2023-04-27 17:36:41,1000,466
2023-04-27 17:36:42,980,465
2023-04-27 17:36:43,967,470
2023-04-27 17:36:44,968,482
2023-04-27 17:36:45,885,448
2023-04-27 17:36:46,900,470
2023-04-27 17:36:47,941,503
2023-04-27 17:36:48,937,486
2023-04-27 17:36:49,918,437
2023-04-27 17:36:50,993,478
2023-04-27 17:36:51,974,445
2023-04-27 17:36:52,965,414
2023-04-27 17:36:53,972,450
2023-04-27 17:36:54,951,484
2023-04-27 17:36:55,964,454
2023-04-27 17:36:56,997,477
2023-04-27 17:36:57,938,483
2023-04-27 17:36:58,957,464
2023-04-27 17:36:59,969,475
2023-04-27 17:37:00,850,424
2023-04-27 17:37:01,819,398
2023-04-27 17:37:02,848,436
2023-04-27 17:37:03,817,409
2023-04-27 17:37:04,893,403
2023-04-27 17:37:05,998,475
2023-04-27 17:37:06,953,461
2023-04-27 17:37:07,978,436
2023-04-27 17:37:08,1000,472
2023-04-27 17:37:09,923,444
2023-04-27 17:37:10,897,418
2023-04-27 17:37:11,966,481
2023-04-27 17:37:12,971,495
2023-04-27 17:37:13,928,458
2023-04-27 17:37:14,977,478
2023-04-27 17:37:15,1002,514
2023-04-27 17:37:16,935,436
2023-04-27 17:37:17,872,415
2023-04-27 17:37:18,895,432
2023-04-27 17:37:19,870,424
2023-04-27 17:37:20,807,347
2023-04-27 17:37:21,817,363
2023-04-27 17:37:22,833,358
2023-04-27 17:37:23,804,372
2023-04-27 17:37:24,777,375
2023-04-27 17:37:25,808,413
2023-04-27 17:37:26,842,439
2023-04-27 17:37:27,839,418
2023-04-27 17:37:28,842,385
2023-04-27 17:37:29,857,402
2023-04-27 17:37:30,865,415
2023-04-27 17:37:31,856,410
2023-04-27 17:37:32,863,441
2023-04-27 17:37:33,901,467
2023-04-27 17:37:34,918,457
2023-04-27 17:37:35,905,438
2023-04-27 17:37:36,894,423
2023-04-27 17:37:37,883,438
2023-04-27 17:37:38,848,405
2023-04-27 17:37:39,866,434
2023-04-27 17:37:40,911,456
2023-04-27 17:37:41,915,477
2023-04-27 17:37:42,915,430
2023-04-27 17:37:43,961,470
2023-04-27 17:37:44,935,446
2023-04-27 17:37:45,880,416
2023-04-27 17:37:46,892,413
2023-04-27 17:37:47,930,448
2023-04-27 17:37:48,923,427
2023-04-27 17:37:49,905,420
2023-04-27 17:37:50,953,447
2023-04-27 17:37:51,959,478
2023-04-27 17:37:52,913,441
2023-04-27 17:37:53,921,475
2023-04-27 17:37:54,935,469
2023-04-27 17:37:55,884,442
2023-04-27 17:37:56,906,415
2023-04-27 17:37:57,958,455
2023-04-27 17:37:58,917,427
2023-04-27 17:37:59,961,465
2023-04-27 17:38:00,1026,484
2023-04-27 17:38:01,966,485
2023-04-27 17:38:02,943,457
2023-04-27 17:38:03,964,486
2023-04-27 17:38:04,924,470
2023-04-27 17:38:05,859,441
2023-04-27 17:38:06,932,438
2023-04-27 17:38:07,921,453
2023-04-27 17:38:08,894,431
2023-04-27 17:38:09,910,444
2023-04-27 17:38:10,954,489
2023-04-27 17:38:11,893,454
2023-04-27 17:38:12,896,464
2023-04-27 17:38:13,936,486
2023-04-27 17:38:14,939,489
2023-04-27 17:38:15,903,462
2023-04-27 17:38:16,918,477
2023-04-27 17:38:17,942,495
2023-04-27 17:38:18,927,479
2023-04-27 17:38:19,847,429
2023-04-27 17:38:20,877,459
2023-04-27 17:38:21,892,497
2023-04-27 17:38:22,845,458
2023-04-27 17:38:23,844,463
2023-04-27 17:38:24,913,512
2023-04-27 17:38:25,902,494
2023-04-27 17:38:26,838,469
2023-04-27 17:38:27,883,502
2023-04-27 17:38:28,884,485
2023-04-27 17:38:29,834,451
2023-04-27 17:38:30,831,477
2023-04-27 17:38:31,902,501
2023-04-27 17:38:32,886,446
2023-04-27 17:38:33,874,435
2023-04-27 17:38:34,908,496
2023-04-27 17:38:35,918,478
2023-04-27 17:38:36,877,428
2023-04-27 17:38:37,880,481
2023-04-27 17:38:38,906,499
2023-04-27 17:38:39,901,463
2023-04-27 17:38:40,845,429
2023-04-27 17:38:41,872,471
2023-04-27 17:38:42,862,437
