"Time","Log Writes","Log Written"
2023-04-27 17:35:52,0.200,102
2023-04-27 17:35:53,0.200,102
2023-04-27 17:35:54,98.4,150630
2023-04-27 17:35:55,268,416154
2023-04-27 17:35:56,382,573542
2023-04-27 17:35:57,515,734310
2023-04-27 17:35:58,650,920064
2023-04-27 17:35:59,711,975974
2023-04-27 17:36:00,696,883098
2023-04-27 17:36:01,649,803021
2023-04-27 17:36:02,623,751718
2023-04-27 17:36:03,653,743629
2023-04-27 17:36:04,645,698163
2023-04-27 17:36:05,597,633754
2023-04-27 17:36:06,683,724890
2023-04-27 17:36:07,741,775168
2023-04-27 17:36:08,669,676557
2023-04-27 17:36:09,659,697549
2023-04-27 17:36:10,734,772915
2023-04-27 17:36:11,715,730931
2023-04-27 17:36:12,659,669389
2023-04-27 17:36:13,705,733901
2023-04-27 17:36:14,657,636621
2023-04-27 17:36:15,648,616448
2023-04-27 17:36:16,634,588186
2023-04-27 17:36:17,663,620749
2023-04-27 17:36:18,722,653107
2023-04-27 17:36:19,766,673792
2023-04-27 17:36:20,669,577638
2023-04-27 17:36:21,710,603136
2023-04-27 17:36:22,744,621363
2023-04-27 17:36:23,681,558182
2023-04-27 17:36:24,682,580096
2023-04-27 17:36:25,787,666726
2023-04-27 17:36:26,774,647373
2023-04-27 17:36:27,739,608973
2023-04-27 17:36:28,790,666522
2023-04-27 17:36:29,783,651366
2023-04-27 17:36:30,690,558285
2023-04-27 17:36:31,732,599757
2023-04-27 17:36:32,745,605594
2023-04-27 17:36:33,675,527053
2023-04-27 17:36:34,749,561664
2023-04-27 17:36:35,861,652800
2023-04-27 17:36:36,810,617165
2023-04-27 17:36:37,770,582451
2023-04-27 17:36:38,793,589824
2023-04-27 17:36:39,727,541901
2023-04-27 17:36:40,714,529306
2023-04-27 17:36:41,737,535654
2023-04-27 17:36:42,735,529203
2023-04-27 17:36:43,739,524186
2023-04-27 17:36:44,746,539955
2023-04-27 17:36:45,726,530227
2023-04-27 17:36:46,753,550298
2023-04-27 17:36:47,801,586035
2023-04-27 17:36:48,790,601702
2023-04-27 17:36:49,720,536269
2023-04-27 17:36:50,750,566579
2023-04-27 17:36:51,719,538931
2023-04-27 17:36:52,691,535142
2023-04-27 17:36:53,726,547738
2023-04-27 17:36:54,812,625766
2023-04-27 17:36:55,762,572211
2023-04-27 17:36:56,778,591974
2023-04-27 17:36:57,792,589926
2023-04-27 17:36:58,767,563507
2023-04-27 17:36:59,745,557056
2023-04-27 17:37:00,699,521114
2023-04-27 17:37:01,661,482202
2023-04-27 17:37:02,694,504832
2023-04-27 17:37:03,676,490496
2023-04-27 17:37:04,669,473190
2023-04-27 17:37:05,744,527462
2023-04-27 17:37:06,758,539648
2023-04-27 17:37:07,727,514560
2023-04-27 17:37:08,752,535552
2023-04-27 17:37:09,714,507290
2023-04-27 17:37:10,702,501043
2023-04-27 17:37:11,755,548762
