"Time","Time to Use Redo Log Space "
2023-04-27 17:35:52,983040
2023-04-27 17:35:53,983040
2023-04-27 17:35:54,668
2023-04-27 17:35:55,242
2023-04-27 17:35:56,176
2023-04-27 17:35:57,137
2023-04-27 17:35:58,109
2023-04-27 17:35:59,103
2023-04-27 17:36:00,114
2023-04-27 17:36:01,125
2023-04-27 17:36:02,134
2023-04-27 17:36:03,135
2023-04-27 17:36:04,144
2023-04-27 17:36:05,159
2023-04-27 17:36:06,139
2023-04-27 17:36:07,130
2023-04-27 17:36:08,149
2023-04-27 17:36:09,144
2023-04-27 17:36:10,130
2023-04-27 17:36:11,138
2023-04-27 17:36:12,150
2023-04-27 17:36:13,137
2023-04-27 17:36:14,158
2023-04-27 17:36:15,163
2023-04-27 17:36:16,171
2023-04-27 17:36:17,162
2023-04-27 17:36:18,154
2023-04-27 17:36:19,149
2023-04-27 17:36:20,174
2023-04-27 17:36:21,167
2023-04-27 17:36:22,162
2023-04-27 17:36:23,180
2023-04-27 17:36:24,174
2023-04-27 17:36:25,151
2023-04-27 17:36:26,155
2023-04-27 17:36:27,165
2023-04-27 17:36:28,151
2023-04-27 17:36:29,155
2023-04-27 17:36:30,180
2023-04-27 17:36:31,168
2023-04-27 17:36:32,166
2023-04-27 17:36:33,191
2023-04-27 17:36:34,179
2023-04-27 17:36:35,154
2023-04-27 17:36:36,163
2023-04-27 17:36:37,173
2023-04-27 17:36:38,171
2023-04-27 17:36:39,186
2023-04-27 17:36:40,190
2023-04-27 17:36:41,188
2023-04-27 17:36:42,190
2023-04-27 17:36:43,192
2023-04-27 17:36:44,186
2023-04-27 17:36:45,190
2023-04-27 17:36:46,183
2023-04-27 17:36:47,172
2023-04-27 17:36:48,167
2023-04-27 17:36:49,188
2023-04-27 17:36:50,178
2023-04-27 17:36:51,187
2023-04-27 17:36:52,188
2023-04-27 17:36:53,184
2023-04-27 17:36:54,161
2023-04-27 17:36:55,176
2023-04-27 17:36:56,170
2023-04-27 17:36:57,171
2023-04-27 17:36:58,179
2023-04-27 17:36:59,181
2023-04-27 17:37:00,193
2023-04-27 17:37:01,209
2023-04-27 17:37:02,199
2023-04-27 17:37:03,205
2023-04-27 17:37:04,213
2023-04-27 17:37:05,191
2023-04-27 17:37:06,187
2023-04-27 17:37:07,196
2023-04-27 17:37:08,188
2023-04-27 17:37:09,198
2023-04-27 17:37:10,201
2023-04-27 17:37:11,183
2023-04-27 17:37:12,184
2023-04-27 17:37:13,182
2023-04-27 17:37:14,180
2023-04-27 17:37:15,177
2023-04-27 17:37:16,205
2023-04-27 17:37:17,203
2023-04-27 17:37:18,209
2023-04-27 17:37:19,209
2023-04-27 17:37:20,243
2023-04-27 17:37:21,242
2023-04-27 17:37:22,236
2023-04-27 17:37:23,228
2023-04-27 17:37:24,215
2023-04-27 17:37:25,200
2023-04-27 17:37:26,194
2023-04-27 17:37:27,214
2023-04-27 17:37:28,234
2023-04-27 17:37:29,237
2023-04-27 17:37:30,229
2023-04-27 17:37:31,214
2023-04-27 17:37:32,200
2023-04-27 17:37:33,189
2023-04-27 17:37:34,189
2023-04-27 17:37:35,194
2023-04-27 17:37:36,203
2023-04-27 17:37:37,194
2023-04-27 17:37:38,207
2023-04-27 17:37:39,194
2023-04-27 17:37:40,189
2023-04-27 17:37:41,187
2023-04-27 17:37:42,210
2023-04-27 17:37:43,204
2023-04-27 17:37:44,218
2023-04-27 17:37:45,225
2023-04-27 17:37:46,230
2023-04-27 17:37:47,212
2023-04-27 17:37:48,210
2023-04-27 17:37:49,213
2023-04-27 17:37:50,206
2023-04-27 17:37:51,190
2023-04-27 17:37:52,196
2023-04-27 17:37:53,184
2023-04-27 17:37:54,187
2023-04-27 17:37:55,193
2023-04-27 17:37:56,210
2023-04-27 17:37:57,203
2023-04-27 17:37:58,202
2023-04-27 17:37:59,188
2023-04-27 17:38:00,186
2023-04-27 17:38:01,187
2023-04-27 17:38:02,188
2023-04-27 17:38:03,189
2023-04-27 17:38:04,194
2023-04-27 17:38:05,205
2023-04-27 17:38:06,199
2023-04-27 17:38:07,202
2023-04-27 17:38:08,209
2023-04-27 17:38:09,213
2023-04-27 17:38:10,198
2023-04-27 17:38:11,209
2023-04-27 17:38:12,199
2023-04-27 17:38:13,199
2023-04-27 17:38:14,197
2023-04-27 17:38:15,202
2023-04-27 17:38:16,194
2023-04-27 17:38:17,186
2023-04-27 17:38:18,182
2023-04-27 17:38:19,192
2023-04-27 17:38:20,185
2023-04-27 17:38:21,169
2023-04-27 17:38:22,180
2023-04-27 17:38:23,184
2023-04-27 17:38:24,167
2023-04-27 17:38:25,171
2023-04-27 17:38:26,185
2023-04-27 17:38:27,186
2023-04-27 17:38:28,187
2023-04-27 17:38:29,209
2023-04-27 17:38:30,211
2023-04-27 17:38:31,204
2023-04-27 17:38:32,220
2023-04-27 17:38:33,222
2023-04-27 17:38:34,199
2023-04-27 17:38:35,194
2023-04-27 17:38:36,207
2023-04-27 17:38:37,184
2023-04-27 17:38:38,181
2023-04-27 17:38:39,184
2023-04-27 17:38:40,193
2023-04-27 17:38:41,181
2023-04-27 17:38:42,195
2023-04-27 17:38:43,189
2023-04-27 17:38:44,191
2023-04-27 17:38:45,182
2023-04-27 17:38:46,188
2023-04-27 17:38:47,189
2023-04-27 17:38:48,175
2023-04-27 17:38:49,187
2023-04-27 17:38:50,192
2023-04-27 17:38:51,176
2023-04-27 17:38:52,168
2023-04-27 17:38:53,189
2023-04-27 17:38:54,177
2023-04-27 17:38:55,174
2023-04-27 17:38:56,181
2023-04-27 17:38:57,171
2023-04-27 17:38:58,174
2023-04-27 17:38:59,183
2023-04-27 17:39:00,190
2023-04-27 17:39:01,195
2023-04-27 17:39:02,196
2023-04-27 17:39:03,205
2023-04-27 17:39:04,199
2023-04-27 17:39:05,177
2023-04-27 17:39:06,190
2023-04-27 17:39:07,213
2023-04-27 17:39:08,195
2023-04-27 17:39:09,172
2023-04-27 17:39:10,188
2023-04-27 17:39:11,193
2023-04-27 17:39:12,189
2023-04-27 17:39:13,185
2023-04-27 17:39:14,211
2023-04-27 17:39:15,206
2023-04-27 17:39:16,188
2023-04-27 17:39:17,183
2023-04-27 17:39:18,193
2023-04-27 17:39:19,191
2023-04-27 17:39:20,207
2023-04-27 17:39:21,231
2023-04-27 17:39:22,219
2023-04-27 17:39:23,211
2023-04-27 17:39:24,215
2023-04-27 17:39:25,213
2023-04-27 17:39:26,190
2023-04-27 17:39:27,194
2023-04-27 17:39:28,194
2023-04-27 17:39:29,212
2023-04-27 17:39:30,204
2023-04-27 17:39:31,206
2023-04-27 17:39:32,210
2023-04-27 17:39:33,224
2023-04-27 17:39:34,200
2023-04-27 17:39:35,203
2023-04-27 17:39:36,199
2023-04-27 17:39:37,202
2023-04-27 17:39:38,190
2023-04-27 17:39:39,201
2023-04-27 17:39:40,193
2023-04-27 17:39:41,209
2023-04-27 17:39:42,218
2023-04-27 17:39:43,208
2023-04-27 17:39:44,194
2023-04-27 17:39:45,200
2023-04-27 17:39:46,202
2023-04-27 17:39:47,181
2023-04-27 17:39:48,191
2023-04-27 17:39:49,195
2023-04-27 17:39:50,184
2023-04-27 17:39:51,173
2023-04-27 17:39:52,199
2023-04-27 17:39:53,190
2023-04-27 17:39:54,172
2023-04-27 17:39:55,179
2023-04-27 17:39:56,193
2023-04-27 17:39:57,178
2023-04-27 17:39:58,179
2023-04-27 17:39:59,210
2023-04-27 17:40:00,214
2023-04-27 17:40:01,195
2023-04-27 17:40:02,183
2023-04-27 17:40:03,194
2023-04-27 17:40:04,185
2023-04-27 17:40:05,184
2023-04-27 17:40:06,192
2023-04-27 17:40:07,204
2023-04-27 17:40:08,193
2023-04-27 17:40:09,200
2023-04-27 17:40:10,198
2023-04-27 17:40:11,182
2023-04-27 17:40:12,185
2023-04-27 17:40:13,201
2023-04-27 17:40:14,199
2023-04-27 17:40:15,196
2023-04-27 17:40:16,213
2023-04-27 17:40:17,235
2023-04-27 17:40:18,217
2023-04-27 17:40:19,228
2023-04-27 17:40:20,236
2023-04-27 17:40:21,220
2023-04-27 17:40:22,203
2023-04-27 17:40:23,211
2023-04-27 17:40:24,185
2023-04-27 17:40:25,176
2023-04-27 17:40:26,188
2023-04-27 17:40:27,174
2023-04-27 17:40:28,178
2023-04-27 17:40:29,191
2023-04-27 17:40:30,190
2023-04-27 17:40:31,183
2023-04-27 17:40:32,181
2023-04-27 17:40:33,177
2023-04-27 17:40:34,185
2023-04-27 17:40:35,195
2023-04-27 17:40:36,191
2023-04-27 17:40:37,197
2023-04-27 17:40:38,213
2023-04-27 17:40:39,190
2023-04-27 17:40:40,192
2023-04-27 17:40:41,194
2023-04-27 17:40:42,196
2023-04-27 17:40:43,184
2023-04-27 17:40:44,198
2023-04-27 17:40:45,201
2023-04-27 17:40:46,217
2023-04-27 17:40:47,213
2023-04-27 17:40:48,196
2023-04-27 17:40:49,198
2023-04-27 17:40:50,184
2023-04-27 17:40:51,180
2023-04-27 17:40:52,192
2023-04-27 17:40:53,206

