"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 17:35:52,0.200,0,0,0.200,0,1.70,5.60,8.20
2023-04-27 17:35:53,0.400,0,0,0.200,0,1.50,5.50,7.60
2023-04-27 17:35:54,0.900,0,0,0.200,0.1000,3.70,5.70,10.4
2023-04-27 17:35:55,0.900,0,0,0.400,0.200,8.50,10.7,22.0
2023-04-27 17:35:56,0.900,0,0,0.700,0.200,12.9,15.0,30.8
2023-04-27 17:35:57,3.00,0,0,0.800,0.200,17.7,18.8,41.0
2023-04-27 17:35:58,3.00,0,0,1.00,0.200,22.5,23.8,50.8
2023-04-27 17:35:59,2.50,0,0,1.20,0.300,24.2,26.6,53.8
2023-04-27 17:36:00,2.50,0,0,1.30,0.200,23.4,25.4,51.4
2023-04-27 17:36:01,5.90,0,0,1.40,0.200,24.5,25.4,52.0
2023-04-27 17:36:02,4.90,0,0,1.40,0.400,25.2,26.3,54.8
2023-04-27 17:36:03,4.50,0,0,1.30,0.400,24.3,26.4,52.8
2023-04-27 17:36:04,6.70,0,0,1.40,0.200,25,25.9,54.2
2023-04-27 17:36:05,8.00,0,0,1.40,0.400,24.3,26.3,55.4
2023-04-27 17:36:06,4.60,0,0,1.20,0.400,22.6,27.3,54.0
2023-04-27 17:36:07,3.50,0,0,1.10,0.200,22.2,27.4,53.4
2023-04-27 17:36:08,8.00,0,0,1.50,0.300,23.6,26.3,53.0
2023-04-27 17:36:09,6.60,0,0,1.20,0.400,23.7,26.3,52.0
2023-04-27 17:36:10,5.30,0,0,1.30,0.200,24.2,27.2,53.0
2023-04-27 17:36:11,9.30,0,0,1.30,0.400,25.6,26.4,54.2
2023-04-27 17:36:12,10.2,0,0,1.50,0.400,24.8,25.5,52.6
2023-04-27 17:36:13,5.80,0,0,1.30,0.300,26.3,26.5,54.4
2023-04-27 17:36:14,9.90,0,0,1.40,0.300,27.0,25.5,54.4
2023-04-27 17:36:15,10.0,0,0,1.30,0.400,27.4,25,55.4
2023-04-27 17:36:16,6.10,0,0,1.30,0.200,27.1,24.7,54.0
2023-04-27 17:36:17,9.50,0,0,1.20,0.300,27.9,25.3,55.8
2023-04-27 17:36:18,9.50,0,0,1.20,0.400,25.1,25.2,52.8
2023-04-27 17:36:19,4.60,0,0,1.20,0.300,23.8,29.1,55.2
2023-04-27 17:36:20,8.20,0,0,1.20,0.300,23.8,28.5,54.8
2023-04-27 17:36:21,10.2,0,0,1.30,0.300,23.4,28.9,55.2
2023-04-27 17:36:22,5.90,0,0,1.60,0.300,22.7,28.7,55.6
2023-04-27 17:36:23,7.70,0,0,1.40,0.200,23.5,28.5,55.4
2023-04-27 17:36:24,10.3,0,0,1.40,0.300,24.3,25.9,55.2
2023-04-27 17:36:25,6.60,0,0,1.20,0.200,25.3,26.9,55.6
2023-04-27 17:36:26,5.60,0,0,1.10,0.300,26.5,28.1,57.8
2023-04-27 17:36:27,8.10,0,0,0.800,0.200,27.7,28.5,58.6
2023-04-27 17:36:28,6.20,0,0,1.20,0.300,27.6,28.8,61.2
2023-04-27 17:36:29,4.70,0,0,1.20,0.200,27.5,28.7,61.2
2023-04-27 17:36:30,8.40,0,0,1.30,0.300,26.3,27.8,58.8
2023-04-27 17:36:31,7.30,0,0,1.30,0.200,24.7,27.4,56.0
2023-04-27 17:36:32,5,0,0,1.60,0.300,24.9,27.1,54.8
2023-04-27 17:36:33,9.20,0,0,1.60,0.200,25.3,26.1,54.2
2023-04-27 17:36:34,8.20,0,0,1.60,0.300,24.7,26.8,55.8
2023-04-27 17:36:35,4.50,0,0,1.60,0.200,25.1,27.5,55.8
2023-04-27 17:36:36,7.70,0,0,1.90,0.300,26.1,26.5,56.4
2023-04-27 17:36:37,9.30,0,0,1.70,0.200,26.7,26.3,56.0
2023-04-27 17:36:38,6.70,0,0,1.40,0.200,26.7,27.1,55.6
2023-04-27 17:36:39,10.1,0,0,1.40,0.200,28.1,25.7,55.6
2023-04-27 17:36:40,10.1,0,0,1.40,0.300,27.8,25.5,55.4
2023-04-27 17:36:41,7.70,0,0,1.20,0.200,28.0,26.1,55.8
2023-04-27 17:36:42,9.00,0,0,1.20,0.200,26.7,25.8,54.0
2023-04-27 17:36:43,7.40,0,0,1.20,0.400,25.5,25.9,53.4
2023-04-27 17:36:44,4.00,0,0,1.30,0.300,24.4,26.5,53.6
2023-04-27 17:36:45,7.60,0,0,1.50,0.200,26.2,25.7,55.4
2023-04-27 17:36:46,6.80,0,0,1.50,0.200,25.6,26.3,55.4
2023-04-27 17:36:47,3.70,0,0,1.90,0.400,25.5,27.0,57.0
2023-04-27 17:36:48,5.60,0,0,1.90,0.200,28.0,27.3,59.4
2023-04-27 17:36:49,7.30,0,0,1.80,0.200,27.8,29.0,58.8
2023-04-27 17:36:50,3.70,0,0,1.80,0.300,25.9,30.3,59.2
2023-04-27 17:36:51,6.40,0,0,1.80,0.400,26.8,29.0,59.2
2023-04-27 17:36:52,8.60,0,0,1.60,0.200,26.1,28.3,57.8
2023-04-27 17:36:53,6.70,0,0,1.90,0.200,24.4,28.9,57.0
2023-04-27 17:36:54,8.10,0,0,2.10,0.300,26.0,27.3,58.0
2023-04-27 17:36:55,9.10,0,0,1.90,0.300,26.8,26.7,58.0
2023-04-27 17:36:56,6.40,0,0,2.00,0.200,26.0,27.5,56.4
2023-04-27 17:36:57,6.90,0,0,1.90,0.200,28.3,28.0,59.6
2023-04-27 17:36:58,9.00,0,0,1.60,0.300,28.3,26.7,58.8
2023-04-27 17:36:59,6.00,0,0,1.50,0.200,27.4,26.9,57.6
2023-04-27 17:37:00,10.8,0,0,1.60,0.200,26.5,24.7,56.0
2023-04-27 17:37:01,15.5,0,0,1.50,0.200,25.5,23.1,53.0
2023-04-27 17:37:02,12.8,0,0,1.70,0.300,23.4,23.6,49.4
2023-04-27 17:37:03,13.4,0,0,1.70,0.200,24.3,23.8,50.6
2023-04-27 17:37:04,14.1,0,0,1.60,0.300,24.7,22.9,49.8
2023-04-27 17:37:05,8.30,0,0,1.50,0.300,24.8,25.4,52.2
2023-04-27 17:37:06,7.40,0,0,1.40,0.300,26.4,26.4,54.6
2023-04-27 17:37:07,8.20,0,0,1.20,0.200,27.4,25.8,56.2
2023-04-27 17:37:08,5.50,0,0,1.20,0.200,26.6,26.5,55.0
2023-04-27 17:37:09,6.50,0,0,1.20,0.200,27.5,26.4,57.4
2023-04-27 17:37:10,9.00,0,0,1.30,0.200,28.1,26.4,56.4
2023-04-27 17:37:11,5.20,0,0,1.40,0.200,26.9,27.3,57.0
2023-04-27 17:37:12,4.70,0,0,1.20,0.200,26.9,27.6,56.2
2023-04-27 17:37:13,9.70,0,0,1.50,0.200,27.2,26.4,57.2
2023-04-27 17:37:14,7.90,0,0,1.60,0.300,26.0,28.2,56.6
2023-04-27 17:37:15,5.40,0,0,1.80,0.200,25.9,28.1,57.6
2023-04-27 17:37:16,9.20,0,0,1.90,0.600,27.2,27.1,58.0
2023-04-27 17:37:17,10,0,0,2.10,0.800,26.7,26.9,56.8
2023-04-27 17:37:18,5,0,0,1.70,1.10,25.3,28.8,58.0
2023-04-27 17:37:19,5.70,0,0,1.90,1.000,25.1,30.8,59.6
2023-04-27 17:37:20,9.10,0,0,1.80,1.20,26.0,29.6,59.4
2023-04-27 17:37:21,5.30,0,0,1.80,1.000,24.1,30.2,58.8
2023-04-27 17:37:22,4.20,0,0,1.60,1.20,23.5,30.3,61.4
2023-04-27 17:37:23,4.60,0,0,1.80,1.20,25.7,29.1,61.2
2023-04-27 17:37:24,7.40,0,0,1.70,1.30,26.0,26.5,59.2
2023-04-27 17:37:25,4.00,0,0,1.90,1.30,24.5,28.0,59.4
2023-04-27 17:37:26,4.00,0,0,1.80,1.10,24.9,28.8,58.6
