"Database Query/s (QPS)","Database Query/s (QPS)"
2023-04-27 18:38:26,18.21
2023-04-27 18:38:28,21.51
2023-04-27 18:38:30,29.19
2023-04-27 18:38:32,35.86
2023-04-27 18:38:34,43.45
2023-04-27 18:38:36,51.19
2023-04-27 18:38:38,58.48
2023-04-27 18:38:40,65.89
2023-04-27 18:38:42,73.59
2023-04-27 18:38:44,80.41
2023-04-27 18:38:46,88.01
2023-04-27 18:38:48,94.99
2023-04-27 18:38:50,101.29
2023-04-27 18:38:52,108.92
2023-04-27 18:38:54,115.21
2023-04-27 18:38:56,122.35
2023-04-27 18:38:58,128.90
2023-04-27 18:39:00,135.44
2023-04-27 18:39:02,142.63
2023-04-27 18:39:04,149.06
2023-04-27 18:39:06,155.94
2023-04-27 18:39:08,162.81
2023-04-27 18:39:10,169.64
2023-04-27 18:39:12,177.97
2023-04-27 18:39:14,184.97
2023-04-27 18:39:16,192.41
2023-04-27 18:39:18,200.11
2023-04-27 18:39:20,206.99
2023-04-27 18:39:22,215.01
2023-04-27 18:39:24,222.78
2023-04-27 18:39:26,229.80
2023-04-27 18:39:28,236.34
2023-04-27 18:39:30,243.13
2023-04-27 18:39:32,250.25
2023-04-27 18:39:34,257.72
2023-04-27 18:39:36,263.98
2023-04-27 18:39:38,271.35
2023-04-27 18:39:40,279.64
2023-04-27 18:39:42,286.54
2023-04-27 18:39:44,294.18
2023-04-27 18:39:46,301.24
2023-04-27 18:39:48,308.23
2023-04-27 18:39:50,316.31
2023-04-27 18:39:52,323.00
2023-04-27 18:39:54,330.21
2023-04-27 18:39:56,337.63
2023-04-27 18:39:58,344.68
2023-04-27 18:40:00,352.49
2023-04-27 18:40:02,359.17
2023-04-27 18:40:04,366.05
2023-04-27 18:40:06,373.96
2023-04-27 18:40:08,381.01
2023-04-27 18:40:10,387.82
2023-04-27 18:40:12,396.11
2023-04-27 18:40:14,402.69
2023-04-27 18:40:16,410.24
2023-04-27 18:40:18,417.24
2023-04-27 18:40:20,423.41
2023-04-27 18:40:22,431.41
2023-04-27 18:40:24,438.23
2023-04-27 18:40:26,445.23
2023-04-27 18:40:28,452.79
2023-04-27 18:40:30,459.53
2023-04-27 18:40:32,466.89
2023-04-27 18:40:34,474.29
2023-04-27 18:40:36,481.00
2023-04-27 18:40:38,488.59
2023-04-27 18:40:40,495.63
2023-04-27 18:40:42,502.18
2023-04-27 18:40:44,510.31
2023-04-27 18:40:46,517.08
2023-04-27 18:40:48,523.90
2023-04-27 18:40:50,531.66
2023-04-27 18:40:52,538.11
2023-04-27 18:40:54,545.55
2023-04-27 18:40:56,553.08
2023-04-27 18:40:58,559.69
2023-04-27 18:41:00,567.68
2023-04-27 18:41:02,574.32
2023-04-27 18:41:04,580.74
2023-04-27 18:41:06,588.92
2023-04-27 18:41:08,595.24
2023-04-27 18:41:10,601.82
2023-04-27 18:41:12,609.79
2023-04-27 18:41:14,616.57
2023-04-27 18:41:16,623.77
2023-04-27 18:41:18,630.91
2023-04-27 18:41:20,637.61
2023-04-27 18:41:22,645.17
2023-04-27 18:41:24,652.24
2023-04-27 18:41:26,659.06
2023-04-27 18:41:28,666.48
2023-04-27 18:41:30,673.91
2023-04-27 18:41:32,680.56
2023-04-27 18:41:34,688.58
2023-04-27 18:41:36,695.03
2023-04-27 18:41:38,701.76
2023-04-27 18:41:40,709.77
2023-04-27 18:41:42,715.71
2023-04-27 18:41:44,722.78
2023-04-27 18:41:46,730.23
2023-04-27 18:41:48,736.83
2023-04-27 18:41:50,744.14
2023-04-27 18:41:52,751.05
2023-04-27 18:41:54,757.16
2023-04-27 18:41:56,765.00
2023-04-27 18:41:58,771.87
2023-04-27 18:42:00,778.52
2023-04-27 18:42:02,786.27
2023-04-27 18:42:04,792.99
2023-04-27 18:42:06,799.28
2023-04-27 18:42:08,806.77
2023-04-27 18:42:10,813.08
2023-04-27 18:42:12,820.36
2023-04-27 18:42:14,827.89
2023-04-27 18:42:16,834.29
2023-04-27 18:42:18,841.21
2023-04-27 18:42:20,848.55
2023-04-27 18:42:22,854.92
2023-04-27 18:42:24,862.64
2023-04-27 18:42:26,869.16
2023-04-27 18:42:28,875.32
2023-04-27 18:42:30,883.33
2023-04-27 18:42:32,889.95
2023-04-27 18:42:34,897.08
2023-04-27 18:42:36,904.55
2023-04-27 18:42:38,910.83
2023-04-27 18:42:40,918.36
2023-04-27 18:42:42,925.28
2023-04-27 18:42:44,931.78
2023-04-27 18:42:46,939.52
2023-04-27 18:42:48,945.95
2023-04-27 18:42:50,952.58
2023-04-27 18:42:52,959.41
2023-04-27 18:42:54,965.65
2023-04-27 18:42:56,973.30
2023-04-27 18:42:58,979.56
2023-04-27 18:43:00,985.80
2023-04-27 18:43:02,993.60
2023-04-27 18:43:04,1.00 K
2023-04-27 18:43:06,1.01 K
2023-04-27 18:43:08,1.01 K
2023-04-27 18:43:10,1.02 K
2023-04-27 18:43:12,1.03 K
2023-04-27 18:43:14,1.03 K
2023-04-27 18:43:16,1.04 K
2023-04-27 18:43:18,1.05 K
2023-04-27 18:43:20,1.05 K
2023-04-27 18:43:22,1.06 K
2023-04-27 18:43:24,1.07 K
2023-04-27 18:43:26,1.07 K

