"Time","Write","Read"
2023-04-27 18:38:26,226918,0
2023-04-27 18:38:27,233472,0
2023-04-27 18:38:28,7306445,17203
2023-04-27 18:38:29,9367552,17203
2023-04-27 18:38:30,9816474,17203
2023-04-27 18:38:31,20083507,17203
2023-04-27 18:38:32,42829414,17203
2023-04-27 18:38:33,36032512,0
2023-04-27 18:38:34,43663360,0
2023-04-27 18:38:35,66600960,0
2023-04-27 18:38:36,56818893,0
2023-04-27 18:38:37,46893466,0
2023-04-27 18:38:38,66655027,0
2023-04-27 18:38:39,57442304,0
2023-04-27 18:38:40,46607565,0
2023-04-27 18:38:41,66608333,0
2023-04-27 18:38:42,54266266,0
2023-04-27 18:38:43,46741914,0
2023-04-27 18:38:44,66651750,0
2023-04-27 18:38:45,54593946,0
2023-04-27 18:38:46,41540813,0
2023-04-27 18:38:47,66668954,0
2023-04-27 18:38:48,54388326,0
2023-04-27 18:38:49,34404762,0
2023-04-27 18:38:50,62504960,0
2023-04-27 18:38:51,59465728,0
2023-04-27 18:38:52,34298266,0
2023-04-27 18:38:53,51604685,0
2023-04-27 18:38:54,66428109,0
2023-04-27 18:38:55,38277939,0
2023-04-27 18:38:56,43293082,0
2023-04-27 18:38:57,66587034,0
2023-04-27 18:38:58,49260134,0
2023-04-27 18:38:59,34432614,0
2023-04-27 18:39:00,61839770,0
2023-04-27 18:39:01,57588122,0
2023-04-27 18:39:02,34288435,0
2023-04-27 18:39:03,53293875,0
2023-04-27 18:39:04,66430566,0
2023-04-27 18:39:05,39020954,0
2023-04-27 18:39:06,44616090,0
2023-04-27 18:39:07,66449408,0
2023-04-27 18:39:08,47425946,0
2023-04-27 18:39:09,34324480,0
2023-04-27 18:39:10,65546650,0
2023-04-27 18:39:11,56264294,0
2023-04-27 18:39:12,34480947,0
2023-04-27 18:39:13,63569920,0
2023-04-27 18:39:14,66713190,0
2023-04-27 18:39:15,35524608,0
2023-04-27 18:39:16,59957248,0
2023-04-27 18:39:17,66668954,0
2023-04-27 18:39:18,37634867,0
2023-04-27 18:39:19,51527680,0
2023-04-27 18:39:20,66659942,0
2023-04-27 18:39:21,41277850,0
2023-04-27 18:39:22,51682509,0
2023-04-27 18:39:23,66730394,0
2023-04-27 18:39:24,49812275,0
2023-04-27 18:39:25,50806784,0
2023-04-27 18:39:26,66785280,0
2023-04-27 18:39:27,49661542,0
2023-04-27 18:39:28,34456371,0
2023-04-27 18:39:29,66132378,0
2023-04-27 18:39:30,50359501,0
2023-04-27 18:39:31,34344141,0
2023-04-27 18:39:32,60184986,0
2023-04-27 18:39:33,66639462,0
2023-04-27 18:39:34,34902835,0
2023-04-27 18:39:35,56498586,0
2023-04-27 18:39:36,66560819,0
2023-04-27 18:39:37,40725709,0
2023-04-27 18:39:38,53695283,0
2023-04-27 18:39:39,66576384,0
2023-04-27 18:39:40,44683264,0
2023-04-27 18:39:41,54119629,0
2023-04-27 18:39:42,66756608,0
2023-04-27 18:39:43,47482470,0
2023-04-27 18:39:44,42440294,0
2023-04-27 18:39:45,66594406,0
2023-04-27 18:39:46,47075328,0
2023-04-27 18:39:47,36253696,0
2023-04-27 18:39:48,66545254,0
2023-04-27 18:39:49,58692403,0
2023-04-27 18:39:50,34494054,0
2023-04-27 18:39:51,66337178,0
2023-04-27 18:39:52,64744653,0
2023-04-27 18:39:53,34449818,0
2023-04-27 18:39:54,59793408,0
2023-04-27 18:39:55,66519040,0
2023-04-27 18:39:56,34659533,0
2023-04-27 18:39:57,49532109,0
2023-04-27 18:39:58,66537882,0
2023-04-27 18:39:59,41204941,0
2023-04-27 18:40:00,48910336,0
2023-04-27 18:40:01,66577203,0
2023-04-27 18:40:02,51442483,0
2023-04-27 18:40:03,45495091,0
2023-04-27 18:40:04,66555085,0
2023-04-27 18:40:05,52097024,0
2023-04-27 18:40:06,35179725,0
2023-04-27 18:40:07,66604237,0
2023-04-27 18:40:08,55549952,0
2023-04-27 18:40:09,34477670,0
2023-04-27 18:40:10,64149094,0
2023-04-27 18:40:11,65857946,0
2023-04-27 18:40:12,34471936,0
2023-04-27 18:40:13,57606963,0
2023-04-27 18:40:14,66592768,0
2023-04-27 18:40:15,36919706,0
2023-04-27 18:40:16,47044198,0
2023-04-27 18:40:17,66533786,0
2023-04-27 18:40:18,43395482,0
2023-04-27 18:40:19,37914214,4096
2023-04-27 18:40:20,66451866,4096
2023-04-27 18:40:21,53873050,4096
2023-04-27 18:40:22,34371174,4096
2023-04-27 18:40:23,66330624,4096
2023-04-27 18:40:24,62943232,0
2023-04-27 18:40:25,34420326,0
2023-04-27 18:40:26,60225946,0
2023-04-27 18:40:27,66528870,0
2023-04-27 18:40:28,34570240,0
2023-04-27 18:40:29,58054246,0
2023-04-27 18:40:30,66520678,0
2023-04-27 18:40:31,40733082,0
2023-04-27 18:40:32,53356134,0
2023-04-27 18:40:33,66535424,0
2023-04-27 18:40:34,42927718,0
2023-04-27 18:40:35,50089984,0
2023-04-27 18:40:36,66605875,0
2023-04-27 18:40:37,47668429,0
2023-04-27 18:40:38,44466176,0
2023-04-27 18:40:39,66611610,0
2023-04-27 18:40:40,51031245,0
2023-04-27 18:40:41,40933786,0
2023-04-27 18:40:42,66637824,0
2023-04-27 18:40:43,56654234,0
2023-04-27 18:40:44,37317837,0
2023-04-27 18:40:45,66583757,0
2023-04-27 18:40:46,60175155,4915
2023-04-27 18:40:47,34481766,4915
2023-04-27 18:40:48,66476442,4915
2023-04-27 18:40:49,63818957,4915
2023-04-27 18:40:50,34503066,4915
2023-04-27 18:40:51,61607117,0
2023-04-27 18:40:52,66526413,0
2023-04-27 18:40:53,34554675,0
2023-04-27 18:40:54,55464755,0
2023-04-27 18:40:55,66445312,0
2023-04-27 18:40:56,39340442,0
2023-04-27 18:40:57,52142899,0
2023-04-27 18:40:58,66531328,0
2023-04-27 18:40:59,45497549,0
2023-04-27 18:41:00,46453555,0
