"Disk Reads","Disk Reads"
2023-04-27 18:38:26,0.0 B/s
2023-04-27 18:38:28,17.2 kB/s
2023-04-27 18:38:30,17.2 kB/s
2023-04-27 18:38:32,17.2 kB/s
2023-04-27 18:38:34,0.0 B/s
2023-04-27 18:38:36,0.0 B/s
2023-04-27 18:38:38,0.0 B/s
2023-04-27 18:38:40,0.0 B/s
2023-04-27 18:38:42,0.0 B/s
2023-04-27 18:38:44,0.0 B/s
2023-04-27 18:38:46,0.0 B/s
2023-04-27 18:38:48,0.0 B/s
2023-04-27 18:38:50,0.0 B/s
2023-04-27 18:38:52,0.0 B/s
2023-04-27 18:38:54,0.0 B/s
2023-04-27 18:38:56,0.0 B/s
2023-04-27 18:38:58,0.0 B/s
2023-04-27 18:39:00,0.0 B/s
2023-04-27 18:39:02,0.0 B/s
2023-04-27 18:39:04,0.0 B/s
2023-04-27 18:39:06,0.0 B/s
2023-04-27 18:39:08,0.0 B/s
2023-04-27 18:39:10,0.0 B/s
2023-04-27 18:39:12,0.0 B/s
2023-04-27 18:39:14,0.0 B/s
2023-04-27 18:39:16,0.0 B/s
2023-04-27 18:39:18,0.0 B/s
2023-04-27 18:39:20,0.0 B/s
2023-04-27 18:39:22,0.0 B/s
2023-04-27 18:39:24,0.0 B/s
2023-04-27 18:39:26,0.0 B/s
2023-04-27 18:39:28,0.0 B/s
2023-04-27 18:39:30,0.0 B/s
2023-04-27 18:39:32,0.0 B/s
2023-04-27 18:39:34,0.0 B/s
2023-04-27 18:39:36,0.0 B/s
2023-04-27 18:39:38,0.0 B/s
2023-04-27 18:39:40,0.0 B/s
2023-04-27 18:39:42,0.0 B/s
2023-04-27 18:39:44,0.0 B/s
2023-04-27 18:39:46,0.0 B/s
2023-04-27 18:39:48,0.0 B/s
2023-04-27 18:39:50,0.0 B/s
2023-04-27 18:39:52,0.0 B/s
2023-04-27 18:39:54,0.0 B/s
2023-04-27 18:39:56,0.0 B/s
2023-04-27 18:39:58,0.0 B/s
2023-04-27 18:40:00,0.0 B/s
2023-04-27 18:40:02,0.0 B/s
2023-04-27 18:40:04,0.0 B/s
2023-04-27 18:40:06,0.0 B/s
2023-04-27 18:40:08,0.0 B/s
2023-04-27 18:40:10,0.0 B/s
2023-04-27 18:40:12,0.0 B/s
2023-04-27 18:40:14,0.0 B/s
2023-04-27 18:40:16,0.0 B/s
2023-04-27 18:40:18,0.0 B/s
2023-04-27 18:40:20,4.1 kB/s
2023-04-27 18:40:22,4.1 kB/s
2023-04-27 18:40:24,0.0 B/s
2023-04-27 18:40:26,0.0 B/s
2023-04-27 18:40:28,0.0 B/s
2023-04-27 18:40:30,0.0 B/s
2023-04-27 18:40:32,0.0 B/s
2023-04-27 18:40:34,0.0 B/s
2023-04-27 18:40:36,0.0 B/s
2023-04-27 18:40:38,0.0 B/s
2023-04-27 18:40:40,0.0 B/s
2023-04-27 18:40:42,0.0 B/s
2023-04-27 18:40:44,0.0 B/s
