"Disk Writes","Disk Writes"
2023-04-27 18:38:26,226.9 kB/s
2023-04-27 18:38:28,7.2 MB/s
2023-04-27 18:38:30,9.8 MB/s
2023-04-27 18:38:32,42.8 MB/s
2023-04-27 18:38:34,43.5 MB/s
2023-04-27 18:38:36,56.8 MB/s
2023-04-27 18:38:38,66.7 MB/s
2023-04-27 18:38:40,46.6 MB/s
2023-04-27 18:38:42,54.1 MB/s
2023-04-27 18:38:44,66.7 MB/s
2023-04-27 18:38:46,41.6 MB/s
2023-04-27 18:38:48,54.2 MB/s
2023-04-27 18:38:50,62.4 MB/s
2023-04-27 18:38:52,34.3 MB/s
2023-04-27 18:38:54,66.4 MB/s
2023-04-27 18:38:56,43.5 MB/s
2023-04-27 18:38:58,49.4 MB/s
2023-04-27 18:39:00,61.6 MB/s
2023-04-27 18:39:02,34.3 MB/s
2023-04-27 18:39:04,66.4 MB/s
2023-04-27 18:39:06,45.0 MB/s
2023-04-27 18:39:08,47.6 MB/s
2023-04-27 18:39:10,65.5 MB/s
2023-04-27 18:39:12,34.5 MB/s
2023-04-27 18:39:14,66.7 MB/s
2023-04-27 18:39:16,59.9 MB/s
2023-04-27 18:39:18,37.6 MB/s
2023-04-27 18:39:20,66.7 MB/s
2023-04-27 18:39:22,51.6 MB/s
2023-04-27 18:39:24,49.9 MB/s
2023-04-27 18:39:26,66.8 MB/s
2023-04-27 18:39:28,34.5 MB/s
2023-04-27 18:39:30,50.2 MB/s
2023-04-27 18:39:32,60.1 MB/s
2023-04-27 18:39:34,34.8 MB/s
2023-04-27 18:39:36,66.6 MB/s
2023-04-27 18:39:38,53.9 MB/s
2023-04-27 18:39:40,44.7 MB/s
2023-04-27 18:39:42,66.8 MB/s
2023-04-27 18:39:44,42.5 MB/s
2023-04-27 18:39:46,47.0 MB/s
2023-04-27 18:39:48,66.5 MB/s
2023-04-27 18:39:50,34.5 MB/s
2023-04-27 18:39:52,64.6 MB/s
2023-04-27 18:39:54,60.0 MB/s
2023-04-27 18:39:56,34.6 MB/s
2023-04-27 18:39:58,66.5 MB/s
2023-04-27 18:40:00,48.8 MB/s
2023-04-27 18:40:02,51.2 MB/s
2023-04-27 18:40:04,66.6 MB/s
2023-04-27 18:40:06,35.4 MB/s
2023-04-27 18:40:08,55.8 MB/s
2023-04-27 18:40:10,64.2 MB/s
2023-04-27 18:40:12,34.5 MB/s
2023-04-27 18:40:14,66.6 MB/s
2023-04-27 18:40:16,47.2 MB/s
2023-04-27 18:40:18,43.7 MB/s
2023-04-27 18:40:20,66.5 MB/s
