"Time","iowait","irq","nice","softirq","steal","system","user","Max Core Utilization"
2023-04-27 18:38:26,0.200,0,0,0,0,1.10,3.70,4.80
2023-04-27 18:38:27,0.200,0,0,0,0,1.10,3.40,4.60
2023-04-27 18:38:28,1.50,0,0,0.300,0,3.50,5.80,9.80
2023-04-27 18:38:29,1.80,0,0,0.800,0.1000,6.40,8.20,15.8
2023-04-27 18:38:30,1.80,0,0,1.10,0.1000,9.70,10.8,21.8
2023-04-27 18:38:31,3.00,0,0,1.30,0.1000,14.1,13.2,28.8
2023-04-27 18:38:32,6.70,0,0,1.80,0.200,18.3,16.4,38.2
2023-04-27 18:38:33,5.20,0,0,1.80,0.200,18.3,16.5,38.8
2023-04-27 18:38:34,6.30,0,0,1.50,0.1000,19.0,16.3,39.0
2023-04-27 18:38:35,10.2,0,0,1.50,0.200,19.4,16.1,41.4
2023-04-27 18:38:36,9.00,0,0,1.50,0.300,17.8,16.0,40.8
2023-04-27 18:38:37,7.00,0,0,1.40,0.200,16.8,15.3,36.8
2023-04-27 18:38:38,11.4,0,0,1.20,0.200,17.7,15.3,36.6
2023-04-27 18:38:39,10,0,0,1.20,0.200,16.8,15.9,38.0
2023-04-27 18:38:40,8.00,0,0,1.10,0.300,17.0,15.7,38.2
2023-04-27 18:38:41,12.0,0,0,1.10,0.200,17.6,16.1,38.6
2023-04-27 18:38:42,10.3,0,0,1.000,0.200,16.8,16.3,38.8
2023-04-27 18:38:43,7.60,0,0,1.000,0.200,16.7,16.0,38.8
2023-04-27 18:38:44,11.3,0,0,1.10,0.200,17.4,15.9,38.4
2023-04-27 18:38:45,9.40,0,0,1.20,0.1000,16.3,16.2,37.0
2023-04-27 18:38:46,6.20,0,0,1.30,0.200,16.6,15.7,36.2
2023-04-27 18:38:47,10.9,0,0,1.50,0.200,18.7,15.1,37.4
2023-04-27 18:38:48,9.20,0,0,1.70,0.200,17.8,15.3,39.2
2023-04-27 18:38:49,5.50,0,0,1.60,0.200,16.8,17.8,40.4
2023-04-27 18:38:50,11.1,0,0,1.60,0.200,19.0,17.8,40.0
2023-04-27 18:38:51,11.4,0,0,1.80,0.200,17.9,18.1,39.8
2023-04-27 18:38:52,6.70,0,0,1.60,0.200,15.8,18.1,39.4
2023-04-27 18:38:53,10.1,0,0,1.40,0.200,16.8,18.4,38.6
2023-04-27 18:38:54,13.3,0,0,1.60,0.300,17.5,14.9,36.6
2023-04-27 18:38:55,7.70,0,0,1.40,0.200,15.6,15.1,38.4
2023-04-27 18:38:56,7.70,0,0,1.00,0.200,16.2,14.9,39.6
2023-04-27 18:38:57,12.8,0,0,1.00,0.200,17.2,14.5,39.2
2023-04-27 18:38:58,9.40,0,0,1.30,0.300,15.7,14.7,39.6
2023-04-27 18:38:59,6.20,0,0,1.40,0.200,15.2,16.0,38.8
2023-04-27 18:39:00,11.1,0,0,1.50,0.300,16.5,15.3,38.2
2023-04-27 18:39:01,11.0,0,0,1.60,0.300,16.6,15.6,38.8
2023-04-27 18:39:02,5.90,0,0,1.70,0.300,15.3,16.8,40.4
2023-04-27 18:39:03,9.40,0,0,1.60,0.200,16.5,16.2,39.6
2023-04-27 18:39:04,12.7,0,0,1.30,0.300,16.9,15.4,40.6
2023-04-27 18:39:05,7.80,0,0,1.70,0.300,15.0,15.9,39.0
2023-04-27 18:39:06,8.20,0,0,1.80,0.200,15.7,15.6,39.0
2023-04-27 18:39:07,12.8,0,0,1.70,0.200,18.1,14.8,38.8
2023-04-27 18:39:08,9.30,0,0,1.70,0.200,17.1,15.6,37.8
2023-04-27 18:39:09,6.00,0,0,1.90,0.300,17.0,15.8,39.4
2023-04-27 18:39:10,10.6,0,0,1.80,0.200,19.4,16.0,42.2
2023-04-27 18:39:11,9.40,0,0,1.90,0.200,18.0,16.1,41.8
2023-04-27 18:39:12,4.80,0,0,1.80,0.200,15.9,16.4,39.2
2023-04-27 18:39:13,9.40,0,0,1.70,0.300,19.0,16.0,42.8
2023-04-27 18:39:14,10.6,0,0,1.60,0.200,19.0,16.0,42.8
2023-04-27 18:39:15,6.00,0,0,1.30,0.200,16.7,16.3,41.8
2023-04-27 18:39:16,10.4,0,0,1.40,0.200,18.8,15.9,42.2
2023-04-27 18:39:17,11.9,0,0,1.50,0.200,19.0,16.1,44.0
2023-04-27 18:39:18,7.30,0,0,1.40,0.200,15.9,16.5,43.0
2023-04-27 18:39:19,9.10,0,0,1.30,0.1000,16.9,18.9,43.0
2023-04-27 18:39:20,12.5,0,0,1.50,0.200,18.3,18.1,42.4
2023-04-27 18:39:21,7.90,0,0,1.10,0.200,16.1,18.5,39.0
2023-04-27 18:39:22,9.20,0,0,1.10,0.300,16.9,18.2,39.8
2023-04-27 18:39:23,11.8,0,0,1.20,0.200,18.3,17.9,39.4
2023-04-27 18:39:24,8.80,0,0,1.30,0.200,16.9,15.6,36.4
2023-04-27 18:39:25,7.70,0,0,1.20,0.200,16.3,15.7,35.4
2023-04-27 18:39:26,10.9,0,0,1.50,0.200,16.7,15.2,37.4
2023-04-27 18:39:27,8.10,0,0,1.50,0.200,15.5,15.9,36.6
2023-04-27 18:39:28,5.50,0,0,1.50,0.200,15.3,17.5,35.8
2023-04-27 18:39:29,11.5,0,0,1.50,0.200,16.9,17.2,36.0
2023-04-27 18:39:30,9.50,0,0,1.40,0.1000,16.3,17.3,37.4
2023-04-27 18:39:31,6.30,0,0,1.30,0.200,15.6,18.3,36.2
2023-04-27 18:39:32,10.6,0,0,1.60,0.1000,17.9,17.1,37.6
2023-04-27 18:39:33,12.4,0,0,1.60,0.200,17.6,15.0,36.6
2023-04-27 18:39:34,6.40,0,0,1.50,0.200,16.3,14.5,36.8
2023-04-27 18:39:35,10.4,0,0,1.80,0.200,17.3,14.7,36.0
2023-04-27 18:39:36,13.9,0,0,1.60,0.1000,18.1,13.7,36.0
2023-04-27 18:39:37,9.60,0,0,1.30,0.1000,15.9,14.7,37.4
2023-04-27 18:39:38,11.0,0,0,1.40,0.200,16.9,14.9,36.6
2023-04-27 18:39:39,13.3,0,0,1.60,0.200,17.5,15.6,38.8
2023-04-27 18:39:40,9.00,0,0,1.40,0.200,16.4,15.2,38.8
2023-04-27 18:39:41,8.90,0,0,1.60,0.200,17.5,15.4,40.2
2023-04-27 18:39:42,10.7,0,0,1.50,0.300,18.6,15.1,39.6
2023-04-27 18:39:43,7.50,0,0,1.30,0.1000,16.6,15.4,38.6
2023-04-27 18:39:44,6.50,0,0,1.10,0.200,16.8,15.4,36.8
2023-04-27 18:39:45,11.6,0,0,1.10,0.200,17.0,16.0,36.8
2023-04-27 18:39:46,8.20,0,0,1.20,0.300,16.4,16.5,37.0
2023-04-27 18:39:47,6.70,0,0,1.10,0.200,16.2,16.5,37.0
2023-04-27 18:39:48,13.3,0,0,1.30,0.200,17.1,15.6,36.6
2023-04-27 18:39:49,12.0,0,0,1.40,0.200,16.3,17.7,39.2
2023-04-27 18:39:50,6.90,0,0,1.40,0.200,16.0,17.8,40.0
2023-04-27 18:39:51,12.5,0,0,1.40,0.200,17.6,17.1,41.0
2023-04-27 18:39:52,12.4,0,0,1.70,0.200,16.9,16.8,39.8
2023-04-27 18:39:53,5.80,0,0,1.60,0.200,15.9,18.1,41.4
2023-04-27 18:39:54,10.5,0,0,1.70,0.1000,18.1,15.7,40.4
2023-04-27 18:39:55,12.6,0,0,1.60,0.200,18.1,14.8,39.6
2023-04-27 18:39:56,7.00,0,0,1.50,0.200,15.8,15.1,40.2
2023-04-27 18:39:57,9.10,0,0,1.30,0.200,17.3,15.6,42.0
2023-04-27 18:39:58,12.5,0,0,1.20,0.200,18.2,14.9,42.0
2023-04-27 18:39:59,7.80,0,0,1.10,0.200,15.7,15.1,42.0
2023-04-27 18:40:00,8.30,0,0,1.10,0.300,17.0,15.4,41.8
2023-04-27 18:40:01,13.5,0,0,1.20,0.200,17.3,15.5,39.4
2023-04-27 18:40:02,11.2,0,0,1.10,0.200,15.9,16.3,39.2
2023-04-27 18:40:03,9.40,0,0,1.30,0.200,16.0,16.8,39.2
2023-04-27 18:40:04,13.6,0,0,1.40,0.200,17.1,16.1,36.2
2023-04-27 18:40:05,11.0,0,0,1.40,0.1000,16.1,16.3,36.0
2023-04-27 18:40:06,5.80,0,0,1.40,0.200,16.2,16.6,39.2
2023-04-27 18:40:07,11.6,0,0,1.60,0.200,17.3,15.1,38.2
2023-04-27 18:40:08,10.00,0,0,1.70,0.200,17.7,14.2,39.2
2023-04-27 18:40:09,5.80,0,0,1.50,0.200,16.4,15.5,42.2
2023-04-27 18:40:10,10.7,0,0,1.60,0.200,18.5,15.4,43.8
2023-04-27 18:40:11,11.3,0,0,1.70,0.1000,17.8,15.2,40.8
2023-04-27 18:40:12,5.50,0,0,1.60,0.200,16.1,16.3,39.6
2023-04-27 18:40:13,10.1,0,0,1.50,0.200,17.1,16.5,39.0
2023-04-27 18:40:14,12.7,0,0,1.70,0.300,17.4,15.9,38.6
2023-04-27 18:40:15,7.80,0,0,1.80,0.200,14.7,16.0,37.6
2023-04-27 18:40:16,9.40,0,0,1.70,0.200,15.9,15.8,38.2
2023-04-27 18:40:17,13.9,0,0,1.80,0.200,16.9,14.6,38.2
2023-04-27 18:40:18,9.30,0,0,1.90,0.300,15.2,14.6,37.0
2023-04-27 18:40:19,7.00,0,0,1.70,0.200,15.4,17.0,39.6
2023-04-27 18:40:20,15.1,0,0,1.80,0.200,17.5,16.0,38.0
2023-04-27 18:40:21,12.9,0,0,1.60,0.200,16.6,16.8,37.6
2023-04-27 18:40:22,8.40,0,0,1.50,0.200,16.2,17.1,39.2
2023-04-27 18:40:23,14.2,0,0,1.60,0.200,17.6,16.7,39.8
2023-04-27 18:40:24,14.1,0,0,1.80,0.200,17.6,14.1,38.0
2023-04-27 18:40:25,6.00,0,0,1.60,0.200,16.0,15.5,37.2
2023-04-27 18:40:26,10.6,0,0,1.70,0.300,17.4,14.7,38.8
2023-04-27 18:40:27,11.9,0,0,1.80,0.200,17.5,14.8,38.8
2023-04-27 18:40:28,6.10,0,0,1.60,0.200,15.5,15.5,39.4
2023-04-27 18:40:29,10.2,0,0,1.50,0.200,17.1,15.7,38.6
2023-04-27 18:40:30,13.2,0,0,1.30,0.200,17.0,14.8,40.4
2023-04-27 18:40:31,8.60,0,0,1.30,0.200,15.3,15.1,38.8
2023-04-27 18:40:32,9.90,0,0,1.50,0.200,17.0,15.5,39.6
2023-04-27 18:40:33,13.7,0,0,1.50,0.200,17.6,15.5,37.4
2023-04-27 18:40:34,9.40,0,0,1.50,0.200,16.1,15.6,37.6
2023-04-27 18:40:35,9.20,0,0,1.50,0.200,17.2,15.8,37.6
2023-04-27 18:40:36,14.6,0,0,1.50,0.200,18.0,15.8,38.4
2023-04-27 18:40:37,12.0,0,0,1.20,0.200,16.0,15.5,37.0
2023-04-27 18:40:38,9.70,0,0,1.10,0.1000,16.7,15.0,37.8
2023-04-27 18:40:39,14.7,0,0,1.20,0.200,17.7,14.5,36.4
2023-04-27 18:40:40,11.9,0,0,1.30,0.200,16.5,15.5,38.4
2023-04-27 18:40:41,7.30,0,0,1.40,0.200,16.6,15.3,38.4
2023-04-27 18:40:42,13.1,0,0,1.30,0.200,18.0,15.6,39.2
2023-04-27 18:40:43,11.6,0,0,1.30,0.200,17.6,16.7,42.6
2023-04-27 18:40:44,6.80,0,0,1.20,0.200,17.5,17.0,40.6
2023-04-27 18:40:45,12.7,0,0,1.30,0.300,19.1,15.5,39.0
2023-04-27 18:40:46,11.9,0,0,1.10,0.200,18.6,15.8,39.0
2023-04-27 18:40:47,6.10,0,0,1.10,0.200,17.3,15.7,39.0
2023-04-27 18:40:48,12.5,0,0,1.50,0.200,18.8,14.8,36.0
2023-04-27 18:40:49,12.6,0,0,1.50,0.1000,17.7,18.0,42.0
2023-04-27 18:40:50,6.70,0,0,1.40,0.200,15.8,19.4,43.4
2023-04-27 18:40:51,11.6,0,0,1.60,0.200,17.7,18.0,42.4
2023-04-27 18:40:52,12.7,0,0,1.90,0.200,18.1,17.8,43.4
2023-04-27 18:40:53,6.30,0,0,1.40,0.200,15.8,18.3,42.6
2023-04-27 18:40:54,9.10,0,0,1.70,0.200,17.8,15.1,39.8
2023-04-27 18:40:55,11.7,0,0,1.70,0.200,18.6,14.1,39.0
2023-04-27 18:40:56,6.80,0,0,1.50,0.200,16.6,15.4,39.8
2023-04-27 18:40:57,8.60,0,0,1.50,0.200,17.9,15.5,39.0
2023-04-27 18:40:58,11.8,0,0,1.70,0.200,18.7,14.7,39.6
2023-04-27 18:40:59,8.70,0,0,1.60,0.200,16.5,15.3,37.6
2023-04-27 18:41:00,8.50,0,0,1.80,0.1000,16.9,15.3,34.4
2023-04-27 18:41:01,14.7,0,0,1.90,0.200,17.5,15.1,35.6
2023-04-27 18:41:02,11.8,0,0,1.60,0.200,16.2,15.5,34.8
2023-04-27 18:41:03,9.10,0,0,1.60,0.200,15.8,16.3,35.8
2023-04-27 18:41:04,17.0,0,0,1.60,0.200,16.4,15.7,35.6
2023-04-27 18:41:05,14.6,0,0,1.40,0.200,15.4,16.0,38.0
2023-04-27 18:41:06,8.40,0,0,1.40,0.1000,14.8,15.9,37.0
2023-04-27 18:41:07,13.5,0,0,1.60,0.200,16.4,15.0,35.0
2023-04-27 18:41:08,14.2,0,0,1.50,0.200,16.8,14.8,35.0
2023-04-27 18:41:09,6.30,0,0,1.30,0.200,16.5,15.3,38.4
2023-04-27 18:41:10,11.9,0,0,1.60,0.200,18.4,15.2,39.2
2023-04-27 18:41:11,12.5,0,0,1.50,0.200,18.2,15.1,38.8
2023-04-27 18:41:12,7.40,0,0,1.40,0.200,16.2,16.0,40.0
2023-04-27 18:41:13,10.6,0,0,1.50,0.200,16.9,16.2,40.8
2023-04-27 18:41:14,12.9,0,0,1.50,0.200,16.7,15.5,39.2
2023-04-27 18:41:15,7.30,0,0,1.10,0.200,14.9,16.0,37.4
2023-04-27 18:41:16,10.6,0,0,1.40,0.200,16.8,15.8,38.8
2023-04-27 18:41:17,14.3,0,0,1.50,0.1000,16.8,14.9,35.6
2023-04-27 18:41:18,9.90,0,0,1.30,0.200,15.7,15.1,34.4
2023-04-27 18:41:19,10.1,0,0,1.40,0.200,17.0,17.7,36.4
2023-04-27 18:41:20,14.9,0,0,1.70,0.200,18.2,17.1,37.2
2023-04-27 18:41:21,11.0,0,0,1.60,0.200,17.1,17.2,38.2
2023-04-27 18:41:22,9.20,0,0,1.80,0.200,18.3,17.7,41.2
2023-04-27 18:41:23,12.9,0,0,2.00,0.200,19.3,16.7,40.4
2023-04-27 18:41:24,10.4,0,0,1.90,0.300,17.6,14.5,35.8
2023-04-27 18:41:25,7.60,0,0,1.70,0.200,17.7,15.0,36.0
2023-04-27 18:41:26,11.9,0,0,1.80,0.200,18.1,15.1,35.6
2023-04-27 18:41:27,10.0,0,0,1.70,0.200,17.4,14.9,35.4
2023-04-27 18:41:28,7.00,0,0,1.70,0.200,16.4,15.2,36.6
2023-04-27 18:41:29,12.4,0,0,1.80,0.200,17.9,15.2,38.4
2023-04-27 18:41:30,10.4,0,0,1.90,0.200,16.5,15,36.6
2023-04-27 18:41:31,7.00,0,0,1.60,0.200,16.4,15.2,38.2
2023-04-27 18:41:32,14.7,0,0,1.60,0.200,17.1,14.7,34.8
2023-04-27 18:41:33,14.0,0,0,1.60,0.200,16.9,15.1,36.4
2023-04-27 18:41:34,8.60,0,0,1.50,0.200,16.1,15.3,35.4
2023-04-27 18:41:35,14.9,0,0,1.60,0.200,17.1,14.3,35.8
2023-04-27 18:41:36,14.1,0,0,1.50,0.200,16.8,14.0,34.0
2023-04-27 18:41:37,6.40,0,0,1.40,0.300,15.9,14.8,36.8
2023-04-27 18:41:38,11.1,0,0,1.40,0.200,17.6,14.4,35.4
2023-04-27 18:41:39,13.7,0,0,1.20,0.1000,17.4,14.1,37.0
2023-04-27 18:41:40,7.40,0,0,1.10,0.200,16.1,15.2,38.4
2023-04-27 18:41:41,12.1,0,0,1.20,0.200,15.3,15.5,38.2
2023-04-27 18:41:42,14.3,0,0,1.20,0.200,15.5,14.5,37.8
2023-04-27 18:41:43,9.60,0,0,1.000,0.200,13.5,14.7,35.4
2023-04-27 18:41:44,11.0,0,0,1.10,0.200,14.8,14.9,35.8
2023-04-27 18:41:45,15.2,0,0,1.10,0.1000,15.4,13.9,30.6
2023-04-27 18:41:46,10.4,0,0,1.10,0.200,15.6,14.2,33.0
2023-04-27 18:41:47,12.9,0,0,1.000,0.200,16.3,14.5,36.8
2023-04-27 18:41:48,16.7,0,0,0.900,0.200,16.8,13.8,35.4
2023-04-27 18:41:49,12.7,0,0,1.20,0.200,14.9,16.1,35.4
2023-04-27 18:41:50,12.1,0,0,1.20,0.200,16.2,16.7,35.0
2023-04-27 18:41:51,16.2,0,0,1.30,0.200,16.4,15.8,37.4
2023-04-27 18:41:52,11.5,0,0,1.40,0.200,16.1,16.3,40.4
2023-04-27 18:41:53,10.2,0,0,1.60,0.200,17.5,16.7,42.6
2023-04-27 18:41:54,16.8,0,0,1.50,0.200,17.7,13.5,40.0
2023-04-27 18:41:55,13.2,0,0,1.20,0.200,15.9,13.8,40.2
2023-04-27 18:41:56,10.2,0,0,1.20,0.200,16.9,14.9,41.2
2023-04-27 18:41:57,15.6,0,0,1.20,0.1000,16.4,14.0,38.2
2023-04-27 18:41:58,13.1,0,0,1.20,0.200,15.2,14.7,36.8
2023-04-27 18:41:59,7.30,0,0,1.000,0.200,16.5,15.5,38.0
2023-04-27 18:42:00,14.3,0,0,1.30,0.200,17.7,14.6,34.8
2023-04-27 18:42:01,13.2,0,0,1.10,0.200,16.0,14.8,33.2
2023-04-27 18:42:02,7.90,0,0,0.900,0.200,16.1,15.8,35.8
2023-04-27 18:42:03,14.8,0,0,1.30,0.1000,17.5,15.0,35.8
2023-04-27 18:42:04,14.0,0,0,1.30,0.1000,17.0,15.3,35.8
2023-04-27 18:42:05,7.00,0,0,1.20,0.200,16.6,16.7,34.8
2023-04-27 18:42:06,11.4,0,0,1.20,0.200,18.7,15.8,36.4
2023-04-27 18:42:07,14.4,0,0,1.40,0.200,18.5,15,36.8
2023-04-27 18:42:08,7.50,0,0,1.20,0.200,17.2,15.6,34.8
2023-04-27 18:42:09,12.2,0,0,1.30,0.200,18.4,15.1,38.8
2023-04-27 18:42:10,14.1,0,0,1.50,0.1000,18.4,13.8,35.2
2023-04-27 18:42:11,9.70,0,0,1.60,0.200,16.6,14.3,37.0
2023-04-27 18:42:12,10.4,0,0,1.80,0.200,17.9,15.4,39.0
2023-04-27 18:42:13,12.6,0,0,1.70,0.200,18.1,14.5,36.2
2023-04-27 18:42:14,7.90,0,0,1.50,0.200,15.5,15.1,35.8
2023-04-27 18:42:15,10.7,0,0,1.70,0.200,15.9,15.7,38.4
2023-04-27 18:42:16,12.9,0,0,1.50,0.1000,15.8,14.5,35.4
